,,,,,,,,
,Reporting Date,NSE S&P CNX NIFTY,BSE BANKEX,REPO RATE (OVERNIGHT),REVERSE REPO RATE (OVERNIGHT),DAILY CALL MONEY RATE -HIGH,DAILY CALL MONEY RATE - LOW,RBI'S REFERENCE RATE: INR PER USD
,,Index,Index,Per cent,Per cent,Per cent,Per cent,Rupees
,23-May-2022,16214.7,39654.47,4.4,3.35,4.35,2.3,77.589
,22-May-2022,wh,wh,wh,wh,wh,wh,wh
,21-May-2022,,,4.4,3.35,4.4,3.3,
,20-May-2022,16266.15,39631.09,4.4,3.35,4,3.3,77.5829
,19-May-2022,15809.4,38509.51,4.4,3.35,4.35,2.3,77.6999
,18-May-2022,16240.3,39487.26,4.4,3.35,4.3,2.3,77.5716
,17-May-2022,16259.3,39644.21,4.4,3.35,4.3,2.3,77.651
,16-May-2022,15842.3,38787.72,4.4,3.35,0,0,
,15-May-2022,wh,wh,wh,wh,wh,wh,wh
,14-May-2022,,,4.4,3.35,,,
,13-May-2022,15782.15,38241.42,4.4,3.35,4.3,2,77.3543
,12-May-2022,15808,38739.84,4.4,3.35,4.3,2.3,77.5868
,11-May-2022,16167.1,39995.26,4.4,3.35,4.35,2.3,77.2641
,10-May-2022,16240.05,39726.31,4.4,3.35,4.35,2.3,77.3537
,09-May-2022,16301.85,39502.91,4.4,3.35,4.3,2.3,77.3679
,08-May-2022,wh,wh,wh,wh,wh,wh,wh
,07-May-2022,,,4.4,3.35,4.5,3.2,
,06-May-2022,16411.25,39879.82,4.4,3.35,4.25,3.2,76.747
,05-May-2022,16682.65,40584.36,4.4,3.35,4.35,2.3,76.0887
,04-May-2022,16677.6,40583.54,4.4,3.35,4.4,2.3,76.4841
,03-May-2022,,,4.4,3.35,0,0,
,02-May-2022,17069.1,41532.9,4.4,3.35,3.9,2.3,76.4346
,01-May-2022,wh,wh,wh,wh,wh,wh,wh
,30-Apr-2022,,,4.4,3.35,4,2.9,
,29-Apr-2022,17102.55,41533.91,4,3.35,3.94,2.9,76.4242
,28-Apr-2022,17245.05,42006.39,4,3.35,3.95,2.3,76.6167
,27-Apr-2022,17038.4,41499.53,4,3.35,3.95,2.3,76.6414
,26-Apr-2022,17200.8,41949.88,4,3.35,4,2.3,76.5612
,25-Apr-2022,16953.95,41616.47,4,3.35,3.9,2.3,76.7366
,24-Apr-2022,wh,wh,wh,wh,wh,wh,wh
,23-Apr-2022,,,4,3.35,,,
,22-Apr-2022,17171.95,41565.21,4,3.35,3.99,2.3,76.3279
,21-Apr-2022,17392.6,42496.71,4,3.35,3.9,2.2,76.2091
,20-Apr-2022,17136.55,41913.14,4,3.35,3.95,2.2,76.4183
,19-Apr-2022,16958.65,41985.13,4,3.35,,,76.2797
,18-Apr-2022,17173.65,42348.95,4,3.35,3.85,2.2,76.3737
,17-Apr-2022,wh,wh,wh,wh,wh,wh,wh
,16-Apr-2022,,,4,3.35,4,2.9,
,15-Apr-2022,,,4,3.35,,,
,14-Apr-2022,,,4,3.35,,,
,13-Apr-2022,17475.65,43074.65,4,3.35,3.8,2.9,76.2248
,12-Apr-2022,17530.3,43356.36,4,3.35,3.8,2.2,76.1127
,11-Apr-2022,17674.95,43139.16,4,3.35,3.8,2.2,75.9627
,10-Apr-2022,wh,wh,wh,wh,wh,wh,wh
,09-Apr-2022,,,4,3.35,,,
,08-Apr-2022,17784.35,43296.2,4,3.35,3.8,2.2,75.7811
,07-Apr-2022,17639.55,43055.21,4,3.35,3.55,2.2,75.8029
,06-Apr-2022,17807.65,43028.56,4,3.35,3.6,2.2,75.6016
,05-Apr-2022,17957.4,43481.27,4,3.35,3.55,2.2,75.3899
,04-Apr-2022,18053.4,44067.53,4,3.35,3.4,2.2,75.5565
,03-Apr-2022,wh,wh,wh,wh,wh,wh,wh
,02-Apr-2022,,,4,3.35,,,
,01-Apr-2022,17670.45,42596.21,4,3.35,0,0,
,31-Mar-2022,17464.75,41753.8,4,3.35,4.1,2.2,75.8071
,30-Mar-2022,17498.25,41695.46,4,3.35,3.6,2.2,75.7678
,29-Mar-2022,17325.3,41135.8,4,3.35,3.6,2.2,75.9731
,28-Mar-2022,17222,40962.02,4,3.35,3.5,2,76.2569
,27-Mar-2022,wh,wh,wh,wh,wh,wh,wh
,26-Mar-2022,,,4,3.35,,,
,25-Mar-2022,17153,40551.51,4,3.35,3.5,2.2,76.1781
,24-Mar-2022,17222.75,40630.88,4,3.35,3.6,2,76.3403
,23-Mar-2022,17245.65,41330.89,4,3.35,3.7,2,76.1872
,22-Mar-2022,17315.5,41668.73,4,3.35,3.85,2,76.3807
,21-Mar-2022,17117.6,41228.97,4,3.35,3.6,2,76.1347
,20-Mar-2022,wh,wh,wh,wh,wh,wh,wh
,19-Mar-2022,,,4,3.35,3.65,2.7,
,18-Mar-2022,,,4,3.35,,,
,17-Mar-2022,17287.05,41773.35,4,3.35,3.6,2.7,75.8935
,16-Mar-2022,16975.35,40944.39,4,3.35,3.55,2,76.3482
,15-Mar-2022,16663,40125.54,4,3.35,3.45,2.2,76.4879
,14-Mar-2022,16871.3,40506.08,4,3.35,3.45,2.2,76.6086
,13-Mar-2022,wh,wh,wh,wh,wh,wh,wh
,12-Mar-2022,,,4,3.35,,,
,11-Mar-2022,16630.45,39592.95,4,3.35,3.5,2,76.4359
,10-Mar-2022,16594.9,39488.13,4,3.35,4,2,76.116
,09-Mar-2022,16345.35,38720.27,4,3.35,3.65,2,76.8567
,08-Mar-2022,16013.45,38051.11,4,3.35,3.65,2,76.8816
,07-Mar-2022,15863.15,37726.86,4,3.35,3.65,2,76.9239
,06-Mar-2022,wh,wh,wh,wh,wh,wh,wh
,05-Mar-2022,,,4,3.35,3.5,2.4,
,04-Mar-2022,16245.35,39542.86,4,3.35,3.45,2.7,76.1246
,03-Mar-2022,16498.05,40176.74,4,3.35,3.55,2.2,75.7111
,02-Mar-2022,16605.95,40697.74,4,3.35,3.45,2.2,75.72
,01-Mar-2022,,,4,3.35,0,0,
,28-Feb-2022,16793.9,41635.83,4,3.35,3.6,2.2,75.4882
,27-Feb-2022,wh,wh,wh,wh,wh,wh,wh
,26-Feb-2022,,,4,3.35,,,
,25-Feb-2022,16658.4,41884.16,4,3.35,3.5,2.2,75.2842
,24-Feb-2022,16247.95,40547.68,4,3.35,3.5,2,75.2578
,23-Feb-2022,17063.25,42920.81,4,3.35,3.55,2.2,74.6224
,22-Feb-2022,17092.2,42818.68,4,3.35,3.65,2.2,74.8804
,21-Feb-2022,17206.65,43132.22,4,3.35,3.8,2,74.4797
,20-Feb-2022,wh,wh,wh,wh,wh,wh,wh
,19-Feb-2022,,,4,3.35,,,
,18-Feb-2022,17276.3,43062.88,4,3.35,3.55,2,74.9223
,17-Feb-2022,17304.6,42943.67,4,3.35,3.45,2.2,75.0866
,16-Feb-2022,17322.2,43443.14,4,3.35,3.45,2.2,75.0815
,15-Feb-2022,17352.45,43674.91,4,3.35,3.45,2,75.6611
,14-Feb-2022,16842.8,42215.83,4,3.35,3.6,2.2,75.5533
,13-Feb-2022,wh,wh,wh,wh,wh,wh,wh
,12-Feb-2022,,,4,3.35,,,
,11-Feb-2022,17374.75,44088.25,4,3.35,3.55,2.2,75.3542
,10-Feb-2022,17605.85,44683.73,4,3.35,3.6,2,74.9367
,09-Feb-2022,17463.8,44209.61,4,3.35,3.6,2.2,74.818
,08-Feb-2022,17266.75,43631.6,4,3.35,3.5,2.2,74.69
,07-Feb-2022,17213.6,43562.25,4,3.35,0,0,
,06-Feb-2022,wh,wh,wh,wh,wh,wh,wh
,05-Feb-2022,,,4,3.35,3.25,2.7,
